시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
충청북도,옥천군,안남면사무소,충청북도 옥천군 안남면 연주리 408-3,127.67285166231146,36.356222161717376,2455
충청북도,괴산군,행정복지센터 광장,충청북도 괴산군 괴산읍 서부리 201-1,127.79093537442373,36.81168713786282,193
충청북도,괴산군,명덕초등학교 운동장,충청북도 괴산군 괴산읍 서부리 335,127.78683741011088,36.80925082060943,272
충청북도,괴산군,괴산종합운동장,충청북도 괴산군 괴산읍 서부리 177,127.78688862935287,36.81167417545534,3358
충청북도,괴산군,괴산미니축구장,충청북도 괴산군 괴산읍 서부리 160-0,127.78703896928477,36.813769492187106,2424
충청북도,괴산군,다목적운동장,충청북도 괴산군 괴산읍 서부리 661,127.78486091201502,36.81444840307066,2691
충청북도,괴산군,괴산북중학교 운동장,충청북도 괴산군 괴산읍 서부리 725,127.78055279967674,36.81545720225895,325
충청북도,진천군,광혜원면사무소,충청북도 진천군 광혜원면 광혜원리 542-10,127.43564053080915,36.993291183116376,1263
충청북도,진천군,광혜원화랑공원,충청북도 진천군 광혜원면 광혜원리 529-2,127.43792994599754,36.99418950201514,1773
충청북도,진천군,광혜원중학교운동장,충청북도 진천군 광혜원면 광혜원리 520-0,127.44014319893827,36.9911592269821,364
충청북도,괴산군,동인초등학교 운동장,충청북도 괴산군 괴산읍 서부리 485,127.78984989970961,36.80567136196097,297
충청북도,진천군,이월면사무소,충청북도 진천군 이월면 노원리 683-4,127.42855604898568,36.925561797197595,1483
충청북도,진천군,이월초등학교 운동장,충청북도 진천군 이월면 송림리 667,127.43134574040734,36.93106026492745,136
충청북도,진천군,이월중학교 운동장,충청북도 진천군 이월면 송림리 455-5,127.42846200786771,36.92699258652761,364
충청북도,진천군,만승초등학교 운동장,충청북도 진천군 광혜원면 광혜원리 79,127.44211995472902,36.9926765510336,364
충청북도,진천군,문백초등학교 운동장,충청북도 진천군 문백면 봉죽리 297,127.43288471911032,36.78627638961693,30
충청북도,진천군,문백면사무소,충청북도 진천군 문백면 옥성리 312-1,127.43735575989905,36.784365942786025,2812
충청북도,진천군,백곡면사무소,충청북도 진천군 백곡면 석현리 293,127.37683792700727,36.88386974744105,787
충청북도,진천군,백곡초등학교 운동장,충청북도 진천군 백곡면 구수리 21-1,127.35955160479519,36.88608896674715,303
충청북도,진천군,덕산읍사무소,충청북도 진천군 덕산면 용몽리 637,127.50936012576695,36.91372375896363,1887
충청북도,진천군,초평면사무소,충청북도 진천군 초평면 용정리 584-8,127.52652579631902,36.845882043219326,1355
충청북도,진천군,구정초등학교 운동장,충청북도 진천군 초평면 용산리 236-1,127.53519021111381,36.780942612098556,303
충청북도,진천군,문상초등학교 운동장,충청북도 진천군 문백면 사양리 38-1,127.47216644322636,36.83754673012188,136
충청북도,진천군,진천중학교 운동장,충청북도 진천군 진천읍 성석리 462,127.44670027062644,36.867819579742786,303
충청북도,진천군,진천역사테마공원,충청북도 진천군 진천읍 장관리 710-0,127.41126933340111,36.869126455772026,10836
충청북도,진천군,한천초등학교 운동장,충청북도 진천군 덕산면 용몽리 518-3,127.50777122782814,36.906678648702616,303
충청북도,진천군,덕산중학교 운동장,충청북도 진천군 덕산면 용몽리 566,127.50951987645236,36.90650843721953,455
경기도,화성시,마도초등학교 운동장,경기도 화성시 마도면 석교리 248,126.77315087623082,37.20386924019748,952
경기도,화성시,청원초등학교 운동장,경기도 화성시 마도면 청원리 228-4,126.76166611392867,37.1880784436085,2902
경기도,화성시,송산초등학교 운동장,경기도 화성시 송산면 사강리 701,126.73267798236157,37.2143491154057,704
경기도,화성시,청룡초등학교 운동장,경기도 화성시 비봉면 청요리 571,126.88873053436956,37.201242814485106,2329
대구광역시,달서구,피터팬공원,대구광역시 달서구 본동 790,128.53967449363859,35.83586857820249,500
충청북도,진천군,문학공원,충청북도 진천군 진천읍 교성리 104,127.43908616325737,36.849383314899804,2924
충청북도,진천군,화랑공원,충청북도 진천군 진천읍 교성리 126,127.44257105017195,36.84949506257417,1017
충청북도,진천군,진천삼수초등학교 운동장,충청북도 진천군 진천읍 읍내리 333-1,127.44090301514228,36.85612510552614,136
충청북도,진천군,진천근린공원(1호),충청북도 진천군 진천읍 읍내리 산3-10,127.4394994124317,36.856651942771116,5058
충청북도,진천군,진천읍사무소,충청북도 진천군 진천읍 읍내리 370-1,127.4413997459511,36.85497605095984,512
충청북도,증평군,형석중학교 운동장,충청북도 증평군 증평읍 미암리 603,127.59314496391403,36.79279093756006,2349
충청북도,증평군,형석고등학교 운동장,충청북도 증평군 증평읍 미암리 603,127.59314496391403,36.79279093756006,2545
충청북도,증평군,죽리초등학교 운동장,충청북도 증평군 증평읍 죽리 308,127.61213462596704,36.75341575729222,1824
충청북도,증평군,도안초등학교 운동장,충청북도 증평군 도안면 화성리 87,127.61136186746714,36.81669193786304,2024
경상북도,청도군,남성현초등학교 운동장,경상북도 청도군 화양읍 삼신리 257,128.71655707521188,35.69611711206693,403
경상북도,청도군,청도고등학교 운동장,경상북도 청도군 청도읍 고수리 840-2,128.7482147169124,35.64101771309441,1763
충청북도,증평군,증평여자중학교 운동장,충청북도 증평군 증평읍 초중리 11-8,127.57928581219832,36.77909620511682,2182
충청북도,증평군,보강천 체육공원 운동장,충청북도 증평군 증평읍 송산리 211-2,127.5761024866563,36.78700532698701,12121
