기준년도,분류 일련번호,지역,지진_재산,지진_인명,태풍_재산,태풍_인명,호우_재산,호우_인명,태풍·호우_재산,태풍·호우_인명,풍랑·강풍_재산,풍랑·강풍_인명
2020,2,서울,0,0,0.9,0,652.2,1,0,0,0,0
2020,3,부산,0,0,8648,2,17952.1,2,0,0,21,0
2020,4,대구,0,0,21.7,0,826.2,0,0,0,0,0
2020,5,인천,0,0,155.3,0,215.7,0,0,0,0,0
2020,6,광주,0,0,629.3,0,39430.1,3,0,0,0,0
2020,7,대전,0,0,79.9,0,7044.4,0,0,0,0,0
2020,8,울산,0,0,4774.3,0,5571.5,0,0,0,0,0
2020,9,세종,0,0,23.5,0,1209.7,0,0,0,0,0
2020,10,경기,0,0,1854,0,112237.1,10,0,0,7.6,0
2020,11,강원,0,0,73472.6,0,119734.3,0,0,0,143.9,0
2020,12,충북,0,0,2335.1,0,249745.4,8,0,0,51.4,0
2020,13,충남,0,0,896.7,0,89485.5,2,0,0,0,0
2020,14,전북,0,0,1625.5,0,134210,4,0,0,6,0
2020,15,전남,0,0,2241.4,0,214867.2,11,0,0,0,0
2020,16,경북,0,0,98873.7,0,20235.7,0,0,0,46.1,0
2020,17,경남,0,0,20376,0,81753,3,0,0,42.5,0
2020,18,제주,0,0,6533.5,0,1.6,0,0,0,1,0
