기준년도,분류 일련번호,지역,합계_재산,합계_인명,지진_재산,지진_인명,태풍_재산,태풍_인명,호우_재산,호우_인명,태풍·호우_재산,태풍·호우_인명,풍랑·강풍_재산,풍랑·강풍_인명
2017,13,충남,24481.9,0,0,0,0,0,24481.9,0,0,0,0,0
2018,13,충남,2131,0,0,0,9.6,0,1726.1,0,395.3,0,0,0
2019,13,충남,5702.9,1,0,0,5653.3,1,49.6,0,0,0,0,0
2020,13,충남,90382.2,2,0,0,896.7,0,89485.5,2,0,0,0,0
2016,14,전북,210.7,0,0,0,0,0,210.7,0,0,0,0,0
2017,14,전북,71.8,0,0,0,0,0,71.8,0,0,0,0,0
2018,14,전북,4908.2,0,0,0,204.3,0,4388.2,0,315.7,0,0,0
2019,14,전북,3033.9,0,0,0,2388,0,645.9,0,0,0,0,0
2020,14,전북,135841.5,4,0,0,1625.5,0,134210,4,0,0,6,0
2016,15,전남,6966.8,0,1.2,0,6747.6,0,0,0,0,0,218,0
2017,15,전남,148.4,0,0,0,0,0,148.4,0,0,0,0,0
2018,15,전남,20205.8,0,0,0,15027.7,0,1222.6,0,3955.5,0,0,0
2019,15,전남,19519.4,1,0,0,19497.2,1,21.3,0,0,0,0.9,0
2020,15,전남,217108.6,11,0,0,2241.4,0,214867.2,11,0,0,0,0
2016,16,경북,41214.5,0,10243.9,0,20145.1,0,5515.8,0,0,0,5309.7,0
2017,16,경북,86649.7,0,85021.3,0,0,0,1453.4,0,0,0,175,0
2018,16,경북,30248,1,0,0,25602.5,1,1327,0,892,0,2426.5,0
2019,16,경북,116968.9,9,0,0,116889.6,9,71.6,0,0,0,7.7,0
2020,16,경북,119155.5,0,0,0,98873.7,0,20235.7,0,0,0,46.1,0
2016,17,경남,71630.4,0,16.8,0,68839.8,0,2773.8,0,0,0,0,0
2017,17,경남,3475,0,0.6,0,0,0,3464.6,0,0,0,9.8,0
2018,17,경남,16050.2,0,0,0,11747.7,0,3869.4,0,433.1,0,0,0
2019,17,경남,11114.6,1,0,0,10818.1,1,43,0,0,0,253.5,0
2020,17,경남,102171.5,3,0,0,20376,0,81753,3,0,0,42.5,0
2016,18,제주,19647.8,1,0,0,19633.4,1,14.4,0,0,0,0,0
2017,18,제주,256.2,0,0,0,0,0,196.7,0,0,0,59.5,0
2018,18,제주,2012.1,0,0,0,1990.5,0,11.6,0,7,0,3,0
2019,18,제주,2547.5,0,0,0,2543.9,0,3.6,0,0,0,0,0
2020,18,제주,6536.1,0,0,0,6533.5,0,1.6,0,0,0,1,0
