지역코드,시설일련번호,시도명,시군구명,시설명,상세주소,시설면적,경도,위도
4514000000,73,전라북도,익산시,이리영등초등학교 운동장,전라북도 익산시 영등동 762-0,2116,126.97222604540566,35.952923128163995
4514000000,53,전라북도,익산시,이리백제초등학교 운동장,전라북도 익산시 영등동 813-0,2235,126.97452481969076,35.962410229570764
4514000000,42,전라북도,익산시,이리동초등학교 운동장,전라북도 익산시 영등동 155-0,6299,126.97773561287114,35.95687991675833
4514000000,45,전라북도,익산시,이리동북초등학교 운동장,전라북도 익산시 영등동 260-5,3589,126.968545865806,35.94937915680746
4514000000,48,전라북도,익산시,이리마한초등학교 운동장,전라북도 익산시 영등동 817-0,2961,126.97937006408576,35.96247014321957
4514000000,52,전라북도,익산시,남성여고등학교 운동장,전라북도 익산시 영등동 337-5,7858,126.96770472953813,35.95628546313289
4514000000,122,전라북도,익산시,한국폴리텍익산캠퍼스 운동장,전라북도 익산시 어양동 16-0,6272,126.99126332554339,35.95251648808167
4514000000,113,전라북도,익산시,익산어양초등학교 운동장,전라북도 익산시 어양동 692-0,2081,126.9832960769772,35.96123125323877
4721000000,8,경상북도,영주시,평은초등학교 운동장,경상북도 영주시 평은면 금광리 297,460,128.67459062522835,36.74129748333114
4721000000,9,경상북도,영주시,문수초등학교 운동장,경상북도 영주시 문수면 적동리 319,825,128.6337686800964,36.7739472077477
4721000000,10,경상북도,영주시,장수초등학교 운동장,경상북도 영주시 장수면 반구리 981,1857,128.57672477719657,36.776064042566404
4721000000,11,경상북도,영주시,안정초등학교 운동장,경상북도 영주시 안정면 신전리 67-2,1957,128.55535565661535,36.84501698588779
4721000000,12,경상북도,영주시,봉현초등학교 운동장,경상북도 영주시 봉현면 대촌리 170,1752,128.5258150704981,36.84715959948751
4721000000,43,경상북도,영주시,농업인회관 주차장,경상북도 영주시 봉현면 대촌리 22-0,500,128.53240869234347,36.85384843533718
4683000000,17,전라남도,영암군,서호중학교 운동장,전라남도 영암군 서호면 장천리 483,5000,126.58438594948137,34.75595355025922
4683000000,18,전라남도,영암군,장천초등학교 운동장,전라남도 영암군 서호면 장천리 573,4000,126.58236600559356,34.755736299377496
4683000000,19,전라남도,영암군,낭주고등학교 운동장,전라남도 영암군 학산면 독천리 325,3500,126.56423519389426,34.73064297098247
4683000000,20,전라남도,영암군,낭주중학교 운동장,전라남도 영암군 학산면 독천리 151,3700,126.56730125183093,34.72720646264594
