,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
720,경상북도,포항시,죽도동행정복지센터,경상북도 포항시 북구 죽도동 71-6,129.36350187436034,36.03112684633094,152
721,경상북도,포항시,죽도빗물펌프장,경상북도 포항시 북구 죽도동 45-1,129.36385739229644,36.03363289802298,212
722,경상북도,포항시,죽도초등학교 운동장,경상북도 포항시 북구 죽도동 633-5,129.35596494306762,36.0216826852999,1970
723,경상북도,포항시,대잠초등학교 운동장,경상북도 포항시 북구 죽도동 652-1,129.35369501856948,36.0197262525527,1697
724,경상북도,포항시,죽도2어린이공원,경상북도 포항시 북구 죽도동 195-6,129.35976098816926,36.02948341363661,303
748,경상북도,포항시,영흥초등학교 운동장,경상북도 포항시 북구 죽도동 26-2,129.36817904697756,36.031068484276766,2000
749,경상북도,포항시,포항항도중학교 운동장,경상북도 포항시 북구 죽도동 655-9,129.3558615186639,36.018697761254494,1364
