,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수,총인구수,인구대비 수용가능인원비율
41,경상북도,포항시북구,죽도동행정복지센터,경상북도 포항시 북구 죽도동 71-6,129.36350187436034,36.03112684633094,167,269545,0.0335647357229281
42,경상북도,포항시북구,죽도빗물펌프장,경상북도 포항시 북구 죽도동 45-1,129.36385739229644,36.03363289802298,233,269545,0.0468298408589356
43,경상북도,포항시북구,죽도초등학교 운동장,경상북도 포항시 북구 죽도동 633-5,129.35596494306762,36.0216826852999,2167,269545,0.435537618632247
44,경상북도,포항시북구,대잠초등학교 운동장,경상북도 포항시 북구 죽도동 652-1,129.35369501856948,36.0197262525527,1867,269545,0.3752416861958492
45,경상북도,포항시북구,죽도2어린이공원,경상북도 포항시 북구 죽도동 195-6,129.35976098816926,36.02948341363661,333,269545,0.0669284850044016
51,경상북도,포항시북구,영흥초등학교 운동장,경상북도 포항시 북구 죽도동 26-2,129.36817904697756,36.031068484276766,2200,269545,0.4421701712002508
52,경상북도,포항시북구,포항항도중학교 운동장,경상북도 포항시 북구 죽도동 655-9,129.3558615186639,36.018697761254494,1500,269545,0.3014796621819892
