,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
674,경상북도,포항시,유성여자고등학교 운동장,경상북도 포항시 북구 우현동 205-2,129.36040208582287,36.05732102800293,1061
686,경상북도,포항시,포항여자중학교 운동장,경상북도 포항시 북구 우현동 56,129.36310880376706,36.05345664677412,2273
687,경상북도,포항시,세화고등학교 운동장,경상북도 포항시 북구 우현동 318-3,129.3523837545112,36.05391427997876,1061
688,경상북도,포항시,대동중고등학교 운동장,경상북도 포항시 북구 우현동 201-6,129.35677927543887,36.05823890857673,2909
689,경상북도,포항시,중앙초등학교 운동장,경상북도 포항시 북구 우현동 산13-6,129.3650861917873,36.05913368182608,909
675,경상북도,포항시,창포중학교 운동장,경상북도 포항시 북구 창포동 647-0,129.36877984878888,36.06556931562906,1242
676,경상북도,포항시,두호초등학교 운동장,경상북도 포항시 북구 창포동 614-0,129.36866672659065,36.06432368609257,1515
677,경상북도,포항시,창포초등학교 운동장,경상북도 포항시 북구 창포동 646-0,129.3687611438872,36.06665225598889,848
