,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
8335,경상북도,포항시,신흥초등학교 운동장,경상북도 포항시 남구 상도동 607-6,129.3533496847067,36.01326174878239,1303
8336,경상북도,포항시,상대초등학교 운동장,경상북도 포항시 남구 대도동 74-1,129.3618933187617,36.022199620185525,1515
8337,경상북도,포항시,상도중학교 운동장,경상북도 포항시 남구 대도동 156-1,129.36137210856086,36.014683960397946,1455
8338,경상북도,포항시,포항종합운동장,경상북도 포항시 남구 대도동 313-1,129.36349436270578,36.008955211010814,5152
8339,경상북도,포항시,대해초등학교 운동장,경상북도 포항시 남구 대도동 13-1,129.36688752205382,36.02317983019715,2273
